category,datetime,headline,id,image,related,source,summary,url
company,1780518946,Stocks Retreat as US-Iran Peace Hopes in Doubt,140519416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ARES,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Wednesday closed down -0.74%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -1.21%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed down -0.29%. June E-mini S&P futures (ESM26 ) fell -0.78%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=c15b07df8063ea06404970f3a0d4374997f18827fce4fa4ca71d0429485a266d
company,1780499967,Stocks Fall on Escalation of US-Iran Hostilities,140517249,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ARES,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.40%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.74%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.08%. June E-mini S&P futures (ESM26 ) are down -0.48%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=8e0eeea37dc5e4a18989382aba354fb4747c08ecfc61e2ee0d1891492342b086
company,1780497301,Wednesday's session: gap up and gap down stock in the S&P500 index,140512693,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,ARES,ChartMill,Curious about the S&P500 stocks that are gapping on Wednesday? Explore the gap up and gap down stocks in the S&P500 index during today's session.,https://finnhub.io/api/news?id=9d2d251c1f47167febe4a446fd4d67eadd5f79c343165ece7ca3a493d5c2e851
company,1780496944,"Private Credit Jitters Go Global As Partners Group Gates Fund, Shares Tumble 17%",140517846,https://cdn.benzinga.com/files/images/story/2026/06/03/Private-Credit-Stress.png?width=2048&height=1536,ARES,Benzinga,Partners Group is restricting investor withdrawals after redemption requests exceeded 5% of the net asset value. ,https://finnhub.io/api/news?id=4acc5c2c26fcaba97f2dd7bda3d5eae061d93862371bc8d2328d6b84a42f8d5c
company,1780490823,Wall Street Lunch: SpaceX Eyes $75B IPO At $1.75T Valuation,140513803,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2254175142/image_2254175142.jpg?io=getty-c-w1536,ARES,SeekingAlpha,"SpaceX (SPCX) plans to price its IPO at $135 a share, raising about $75B, according to multiple reports.",https://finnhub.io/api/news?id=1f9de9d6538b4c96cfc360bb7eeba6c689b8ee94bf45d33419fe7d20e34d7f4d
company,1780490220,"KKR, Blue Owl, and Blackstone Tumble. Why Private-Equity Jitters Are Back and Hitting the Stocks.",140512331,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ARES,Yahoo,Swiss asset manager Partners Group caps withdrawals from one of its private-equity funds at 5% of the fund’s value.,https://finnhub.io/api/news?id=9fb594d660de6511751f4d628db5bc7eca7ec8b25d878f702f8ac5772df2dfde
company,1780490100,Wondering what's happening in today's S&P500  pre-market session?,140511763,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,ARES,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Wednesday?,https://finnhub.io/api/news?id=fb46dad0511c55c66f27ea25d6a3596bf95193a675282660f9d7ec077c8b06f4
company,1780480844,Blackstone Leads Private Equity Selloff Following Partners Group Redemption Limits,140517534,https://cdn.benzinga.com/files/images/story/2026/06/03/benzingaai2023-stock-market-trading-setu_0.png?width=2048&height=1536,ARES,Benzinga,Blackstone Inc. (NYSE:BX) shares are trading lower Wednesday with private credit peers after Partners Group capped fund withdrawals.,https://finnhub.io/api/news?id=390c3c2092327525fe38f11370d97189748bcbaf0775596acbef27e918a0fffc
company,1780469774,"KKR, Ares, Blackstone tumble as Partners Group caps private equity fund withdrawals ",140514540,https://image.cnbcfm.com/api/v1/image/108171527-17525044362025-07-14t144352z_523593961_rc2dmfamf9pi_rtrmadp_0_usa-stocks.jpeg?v=1752504546&w=1920&h=1080,ARES,CNBC,"U.S. private markets firms fell on Wednesday, as concerns over redemption pressure returned to the spotlight.",https://finnhub.io/api/news?id=17921a547dcdfe009f5079851915fa37909f666f77ba5cadf697863ab05165a4
company,1780469514,Ares Management Corporation (ARES) Presents at Goldman Sachs 30th Annual European Financials Conference 2026 Transcript,140511146,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ARES,SeekingAlpha,"Ares Management Corporation (ARES) Goldman Sachs 30th Annual European Financials Conference 2026 June 3, 2026 3:30 AM EDTCompany ParticipantsBlair Jacobson...",https://finnhub.io/api/news?id=5f9c97b9d94ed05d9e911198bfb312df184f64570de2a8e614b0964fc57f78f5
company,1780454939,"Carlyle Group: Cheaper Than Its Peers, But Not Yet A Buy",140510185,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2211783780/image_2211783780.jpg?io=getty-c-w1536,ARES,SeekingAlpha,"Despite 6% fee-earning AUM growth and record perpetual capital for Carlyle Group, realized performance revenue stayed weak at $20.5M. See why CG stock is a Hold.",https://finnhub.io/api/news?id=165abdb3d4ed8bb51d49c93f60a049bd20bc270970fb468cb78493ab8861d172
