category,datetime,headline,id,image,related,source,summary,url
company,1780530296,Bernstein Downgrades Conagra Brands (CAG),140518548,,CAG,Fintel,,https://finnhub.io/api/news?id=105ad85e76a07c0c24c57b5fed207939be366c83b1b2ceee8e5113f270cc37cc
company,1780517230,"Bernstein cuts food giants as GLP-1s, health trends threaten growth outlooks",140517383,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAG,Yahoo,"Investing.com -- Bernstein turned more cautious on the U.S. packaged food sector, downgrading several industry heavyweights as it warned that structural headwinds ranging from rising GLP-1 drug adoption to regulatory scrutiny and shifting consumer preferences are likely to pressure growth and profitability for years to come.",https://finnhub.io/api/news?id=86e4bded70ceb5b2a5e92b91973ccc5c3b169d8395e219abe4411cf88273e472
company,1780510246,Spend $75 or Less to Make Contrarian Bets on These 3 Hard-Hit Value Stocks,140519051,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAG,Yahoo,"The new 52-week highs on the NYSE exceeded the lows by 2.4 times yesterday, while the Nasdaq’s new highs were 2.9 times the lows. Value investors should check out these three new lows.",https://finnhub.io/api/news?id=db2a1f7a17e06d317c17fee5bc7a63d66be515b2e164579edecf98e82677210d
company,1780506480,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: Boyd Gaming, Chipotle Mexican Grill, Conagra, Dollar General, MGM Resorts International, Omnicom Group, Yum! Brands, and More",140514870,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAG,Yahoo,"Mid-Day Stocks: Stocks are trading lower on Wednesday, as oil and yields move higher. Once again, it was “Welcome back, my friends to the show that never ends.” On cue, the never-say-die stock market shook off early worries and all the major indices closed higher on Tuesday. Like the proverbial broken record, the S&P 500 ... Here Are Wednesday’s Top Wall Street Analyst Research Calls: Boyd Gaming, Chipotle Mexican Grill, Conagra, Dollar General, MGM Resorts International, Omnicom Group, Yum! Bra",https://finnhub.io/api/news?id=988ce3da7a305f3af97406b8862092e19b6ade63c32b6a6164f92468d5f90605
company,1780494944,"Yum! Brands upgraded, Chipotle downgraded: Wall Street's top analyst calls",140512429,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAG,Yahoo,"Yum! Brands upgraded, Chipotle downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=463cebdd2f99abffd071c69212bff0b73e4bb73dd8dab30539e1a539653e509c
company,1780489775,"Bernstein Downgrades Conagra Brands to Underperform, Lowers Price Target to $12",140517838,,CAG,Benzinga,Bernstein  analyst Alexia Howard   downgrades Conagra Brands (NYSE:CAG) from Market Perform to Underperform and lowers the price target from $16 to $12.,https://finnhub.io/api/news?id=23998936fb764d002fc36ca393858a2f1298b9dd955c0a94e6b5b8d89e765cc0
company,1780488823,How The Conagra Brands (CAG) Investment Narrative Is Evolving Without New Analyst Catalysts,140512479,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAG,Yahoo,"Conagra Brands is back in focus with analysts maintaining their existing price targets, leaving the headline numbers unchanged for now. With no fresh commentary to reshape expectations, the current targets simply hold their place on your watchlist. In the sections ahead, you will see how to track these steady signals and spot when the story around Conagra Brands begins to shift. Wall Street's queuing for one rocket. While SpaceX counts down to its IPO, other companies tied to the new space...",https://finnhub.io/api/news?id=1493eabdaa35cd3c39a59a76a5c00cd72bae95f2a4dcaa1ba07908b704a57bc3
company,1780486897,"CPB, CAG, GIS, KHC, And SMPL Stocks Slump In Pre-Market: Why Does Bernstein See ‘Troubled’ Times Ahead?",140511553,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAG,Yahoo,"Bernstein downgraded the stocks, citing headwinds from surging oil prices, the GLP-1 trend, and rising inflation.",https://finnhub.io/api/news?id=a4c5cc44f05d537ba83d791e3b26a0b7094158eb80bc238419d9e95edf6e5cda
company,1780485900,"Tomato Prices Are Spiking, and These 2 Food Stocks Could Feel the Squeeze",140521634,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAG,Yahoo,"Tomato prices rose nearly 40% year-over-year to $2.69 per pound in April, pressuring Campbell's (CPB) and Conagra (CAG), both of which are already facing margin headwinds.",https://finnhub.io/api/news?id=039e3f0511822950d1f9cf975c7ac00aeca286889f6d4cb12f4c1e7c3f82123c
company,1780478592,Wall Street's Most Accurate Analysts Give Their Take On 3 Consumer Staples Stocks Delivering High-Dividend Yields,140514797,https://cdn.benzinga.com/files/images/story/2026/06/03/Businessman-Is-Selecting-Dividends-On-Th.jpeg?width=2048&height=1536,CAG,Benzinga,Investors turn to dividend-yielding stocks in turbulent markets. Benzinga offers latest analyst ratings and news for high-yielding energy stocks.,https://finnhub.io/api/news?id=607e59e00d329b30a3fe883c9dde70b3d60dcb10bf51403d3d6081321f080c07
company,1780476047,Buy 4 S&P 500 Best June Dividend Dogs,140511777,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/508252670/image_508252670.jpg?io=getty-c-w1536,CAG,SeekingAlpha,"Four S&P 500 stocks offer high yields, strong free cash flow, and are currently buyable under the 'safer' dividend dog criteria. Read the full analysis now.",https://finnhub.io/api/news?id=e881bc2992f747bf0c40279dba888e4ec75f836213b5ecb4ee44f72e9a915cc5
