category,datetime,headline,id,image,related,source,summary,url
company,1780522560,"SpaceX Targets IPO Price of $135, Raising $75 Billion",140518242,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"SpaceX will be selling 555,555,555 shares, raising about $75 billion, which would value the company at about $1.75 trillion.",https://finnhub.io/api/news?id=62e3a355a4657df75e7ba6b6c899781ddb94d2a19ebb100f23339293489b0c0f
company,1780515931,AI Euphoria in Old World Auto Stocks Gets a Nod From Wall Street,140517228,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"(Bloomberg) -- Investors betting that more old-world auto companies are in line to benefit from the boom in artificial intelligence got another stamp of approval from Wall Street.Most Read from BloombergTrump Begins Rebuilding His Tariff Wall, Citing Forced LaborRussia Finance Officials Tell Putin War Spending Is UnaffordableTrump to Get Audit Immunity as $1.8 Billion Fund in DoubtTikTok Billionaire Overtakes Mukesh Ambani as Asia’s Second-Richest PersonRBI May Have Sold Gold to Save FX Reserves",https://finnhub.io/api/news?id=0d82dc5e4ef404c7a0bef300ec29134aefa5e29298ce3a1c60bb5a822e5a5c4b
company,1780513802,What's going on in today's session: dow jones movers,140515847,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CAT,ChartMill,Join us in exploring the top gainers and losers within the dow jones index one hour before the close of the markets on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=f12eae3674694cf425f50d042292f0735b68447f2c30d7b4dfe9d35bd11e5ca5
company,1780512439,Bellwether Stock Surges Above Key Level. Trump Is Why.,140516086,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"Deere and heavy machinery stocks continued to rally on Wednesday after the White House announced lower metal tariffs on imported farm and industrial machinery.  Deere stock popped further above a key technical level.  In a proclamation on Monday, President Donald Trump moved to reduce tariffs on agricultural equipment, like combines and harvesters, from 25% to 15%.",https://finnhub.io/api/news?id=a5d5ac90ea5f3cef61ccf2dd3d17c7918d5266c902239aae19ddf9cf6a9a83f0
company,1780506720,SpaceX’s Target Valuation Lowered Again. Why That’s a Red Flag for the Stock Market.,140514869,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"SpaceX is targeting a $1.75 trillion valuation in an IPO next week, according to The Wall Street Journal.",https://finnhub.io/api/news?id=ade1cec91ef51b30035521cc4fd61be32a76ed1c579309c188cdc28e4700528d
company,1780506141,Bellwether Stock Deere Surges Above Key Level. Trump Is Why.,140515003,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"Deere and heavy machinery stocks continued to rally on Wednesday after the White House announced lower metal tariffs on imported farm and industrial machinery.  Deere stock popped further above a key technical level.  In a proclamation on Monday, President Donald Trump moved to reduce tariffs on agricultural equipment, like combines and harvesters, from 25% to 15%.",https://finnhub.io/api/news?id=a966da6f61844bbd700f429f752029cb48a2ab15c228c06b2ddb46304031fbf1
company,1780505549,"Stock Of The Day, A Dow Jones Member And AI Play, Reaches Buy Point",140515004,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,Economic currents have turned in the company's favor as it turns into an artificial-intelligence play both as a user and supplier.,https://finnhub.io/api/news?id=226f27fde91f07163d70392cd097d404c4918a57491ef97e2ae3d8260d91d4d1
company,1780504802,Top dow jones movers in Wednesday's session,140513835,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CAT,ChartMill,Join us in exploring the top gainers and losers within the dow jones index in the middle of the day on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=7e1cb0184f6aeb9ddbe16925bff29adde63c5afab579bff30d0eeaf1f3ab0d26
company,1780496580,SpaceX Target Valuation Lowered Again. Why That’s a Red Flag for the Stock Market.,140513228,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"SpaceX is targeting a $1.75 trillion valuation in an IPO next week, according to The Wall Street Journal.",https://finnhub.io/api/news?id=bed820459b410b999197038fc37f3989056fb3143e1954917687be16ca18982e
company,1780493731,10 Industrials Stocks With Whale Alerts In Today's Session,140515474,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_1.jpg?width=2048&height=1536,CAT,Benzinga, ,https://finnhub.io/api/news?id=f62bc67a0cd42badae9b56795fd04d49c0d6e6cfb61a164f66e67c56a326ef92
