category,datetime,headline,id,image,related,source,summary,url
company,1780528060,Wall Street ends lower as Middle East tensions escalate,140518275,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"STORY: Wall Street's main indexes tumbled on Wednesday, with the Dow losing about 1.2%, the S&P 500 shedding about three-quarters of a percent and the Nasdaq falling roughly nine-tenths of a percent.Flaring tensions in the Middle East and rising crude prices stoked inflation jitters and convinced investors to take some profits.Energy stocks, buoyed by oil prices, enjoyed the largest percentage gains, with Exxon Mobil and Chevron both closing higher. Meanwhile, six of the Magnificent Seven group of megacap tech stocks ended lower, with Meta the only exception.Liz Miller is founder and president of Summit Place Financial Advisors.""I more and more just keep seeing this market as a ping pong. One day we've got the momentum leading tech stocks up and then that drives all the indices up. And the next day we've got sort of the second tier undervalued companies up and the index is down. [FLASH] Today's again, one of those days where we're seeing energy with the most strength. We're seeing some of the consumer come through, some of the industrial, but techs are marginally down. And that's what I mean when I think about this market as a ping pong market, because these are high quality companies, they're large cap, they would be top tier fundamentally, but they haven't really participated as much in the index strength.""Among individual movers, shares of GameStop jumped 6% after the original meme stock posted a rise in quarterly revenue and unveiled a $2 billion share buyback program.Shares of Crowdstrike, down nearly 3% at the close, dropped about another 10% in extended trading after the cyber security company reported a 15% jump in its first-quarter operating expenses as it ramps up investments in AI and product development.And shares of Broadcom fell more than 6% in extended trading despite the company forecasting third-quarter revenue above Wall Street expectations, betting on robust demand for its custom AI chips and networking gear.",https://finnhub.io/api/news?id=8db0a32ee121071244702d51b20f3dcf84d9b0ffb2815b511353954be50955e0
company,1780523386,CNBC Daily Open: Fresh Iran war worries halt stock rally,140524336,https://image.cnbcfm.com/api/v1/image/108316338-1780518732442-gettyimages-2279672498-kd1_8532_vbiuiux6.jpeg?v=1780518769&w=1920&h=1080,CVX,CNBC,Oil prices rise and markets fall after Netanyahu tells CNBC Israel and U.S. prepared to attack Iran again if necessary.,https://finnhub.io/api/news?id=f41c377062c4f4c9fb62b24426097b13f17bb4dc5959880548c6584978f5cc8b
company,1780514889,Jim Cramer talks the flow of money in Big Tech and the dealmaking race,140524337,https://image.cnbcfm.com/api/v1/image/108316434-4ED3-MM-A-BLOCK-060326.jpg?v=1780527894&w=1920&h=1080,CVX,CNBC,'Mad Money' host Jim Cramer weighs in on the latest news on the upcoming SpaceX IPO and how tech companies are racing to raise funds.,https://finnhub.io/api/news?id=fa145c0cbdf3274829b0bafd2d361212945479a61b37b8eb98c94f590d8b8aa0
company,1780514772,Jim Cramer: I fear SpaceX is losing so much money the stock could be a drain for some time,140524339,https://image.cnbcfm.com/api/v1/image/108316435-4ED3-MM-A-BLOCK-SHORT-060326.jpg?v=1780528026&w=1920&h=1080,CVX,CNBC,'Mad Money' host Jim Cramer weighs in on the latest news on the upcoming SpaceX IPO and how tech companies are racing to raise funds.,https://finnhub.io/api/news?id=1ad2b9cff4ed301b32d4e78ad136d51b3e245f0fd1d28e3a478d0e51ce9899ef
company,1780513802,What's going on in today's session: dow jones movers,140515847,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CVX,ChartMill,Join us in exploring the top gainers and losers within the dow jones index one hour before the close of the markets on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=f12eae3674694cf425f50d042292f0735b68447f2c30d7b4dfe9d35bd11e5ca5
company,1780513669,Chevron Corporation (CVX) Presents at Bernstein 42nd Annual Strategic Decisions Conference - Slideshow,140517916,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CVX,SeekingAlpha,2026-06-03. The following slide deck was published by Chevron Corporation in conjunction with this event.,https://finnhub.io/api/news?id=5d25f02be6c907cc653f53811afe12cb6fcff3e5d3a2353f02975ef302bafede
company,1780504802,Top dow jones movers in Wednesday's session,140513835,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CVX,ChartMill,Join us in exploring the top gainers and losers within the dow jones index in the middle of the day on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=7e1cb0184f6aeb9ddbe16925bff29adde63c5afab579bff30d0eeaf1f3ab0d26
company,1780500720,"ExxonMobil's Permian Advantage: Low Breakeven, Rising Production",140514974,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"With WTI above $90, ExxonMobil eyes big Permian profits as Midland/Delaware breakevens sit at $69 and $63 a barrel.",https://finnhub.io/api/news?id=bd11cb8cc17f88bfa005dc30b7fb39a7cf15d5b16c3730b65749f113ad67d571
company,1780498320,First Non-Associated Gas Flows at BP's ACG Field in the Caspian Sea,140515033,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"BP starts commercial gas production at the ACG field, unlocking a new growth avenue with an estimated 4-6 Tcf of recoverable gas resources.",https://finnhub.io/api/news?id=fba52d68dd10af756f2e9712a65d63f0f0023b230102dfa99e2a38f433df6d8d
company,1780494003,"Wall Street's Biggest Bull Turns Cautious Even As S&P 500 Tops 7,600: Yardeni Warns Oil, Fed And Mega IPOs Could Shake Up Record Rally",140512157,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,Yardeni stated in a recent note that the stock market's surge to fresh record highs is being driven by strong corporate earnings rather than speculative enthusiasm.,https://finnhub.io/api/news?id=8fd2ce5486edfad2aaab736de3e6e3a91b996efc122f0be005da11199db1b9b4
