category,datetime,headline,id,image,related,source,summary,url
company,1780523386,CNBC Daily Open: Fresh Iran war worries halt stock rally,140524336,https://image.cnbcfm.com/api/v1/image/108316338-1780518732442-gettyimages-2279672498-kd1_8532_vbiuiux6.jpeg?v=1780518769&w=1920&h=1080,DELL,CNBC,Oil prices rise and markets fall after Netanyahu tells CNBC Israel and U.S. prepared to attack Iran again if necessary.,https://finnhub.io/api/news?id=f41c377062c4f4c9fb62b24426097b13f17bb4dc5959880548c6584978f5cc8b
company,1780514699,Supermicro Stock Soars 85% in a Month. It’s Time to Worry About Its Valuation.,140518984,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"As a leading supplier of high-performance AI servers and storage solutions, Supermicro appears well-positioned to capitalize on AI infrastructure boom.",https://finnhub.io/api/news?id=804a18d26dc17928727f0077fce275f5b49609c4acbf97c4e8f05efc1a0ac482
company,1780513947,"Move Over, Magnificent 7. Traders Are Flocking to SanDisk, Marvell, Micron, and the Parabolic 7",140515969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"The Magnificent 7 has a new challenger. Strategist Ben Emons, in a post amplified by Bloomberg’s Joe Weisenthal on X, has dubbed a basket of seven semiconductor and AI-hardware names the “Parabolic 7.” Weisenthal’s shared data suggests that the group has vastly outperformed both the Magnificent 7 and the SOX semiconductor index since mid-2025. The ... Move Over, Magnificent 7. Traders Are Flocking to SanDisk, Marvell, Micron, and the Parabolic 7",https://finnhub.io/api/news?id=3b990cbd787a9750fd88386b28d774859d949691f92cb597014313961823daea
company,1780512420,President Donald Trump owns roughly $5M in surging AI stock,140516154,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"President Donald Trump has never been shy about telling Americans where to put their money. In February 2026, he told a crowd in Rome, Ga., to ""go out and buy a Dell computer."" According to a People.com report, Trump praised Dell founder and CEO Michael Dell at the State of the Union. He said it ...",https://finnhub.io/api/news?id=382f6b3b405925f221eeda35363be8cf6d5f18532471f67036ca12bfaeba622d
company,1780511956,Nvidia Shakes Up PC Market With Its Surprise Entry,140515982,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,Nvidia looks to revamp the personal computer industry this fall by supplying AI-enabled PC chips for hardware vendors.,https://finnhub.io/api/news?id=67c8e7b5f1d73a8c11f5a796ed99f6db38a17dfd4573becc004a1050114cd03b
company,1780505700,The AI Boom is Even Bigger than We Thought,140516014,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"The size of the AI boom has been well demonstrated by hyperscalers like Alphabet and Nvidia, but when stocks like Dell Technologies and Hewlett Packard transform into AI players, you know the cycle has taken on a new dimension.",https://finnhub.io/api/news?id=7deb36431cb2eea417c3b4569163cd1b6ce1cc1953ea716587138686399f5bfb
company,1780504980,DELL Jumps 37% Post Q1 Earnings: Here is Why the Stock is a Buy,140515106,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"Dell Technologies surges after Q1 FY27 non-GAAP EPS hit $4.86, with $24.4B AI orders and a $60B AI-server outlook driving $165B-$169B guidance.",https://finnhub.io/api/news?id=31256e0c5ac08c1772a1567d084a400dc8dc046a30e1b3799cc25e9478ed67f6
company,1780502404,Dell Technologies (DELL) Upgraded to Strong Buy: What Does It Mean for the Stock?,140515107,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"Dell Technologies (DELL) has been upgraded to a Zacks Rank #1 (Strong Buy), reflecting growing optimism about the company's earnings prospects. This might drive the stock higher in the near term.",https://finnhub.io/api/news?id=5b4861dac252c2b228586d32baf2a72d367bf4a55f68e23dad99f07e350bccc1
company,1780501664,Super Micro Computer Just Unveiled the New AMD Helios Platform. What That Means for SMCI Stock.,140517427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,Is doubling down on AI infrastructure with AMD's Helios platform enough to fuel SMCI's next move?,https://finnhub.io/api/news?id=116b204250aa46bc17d7953187d5ae1b1e689c51f05fadf9cbc481e7a46031a9
company,1780499930,Tech ETF inflows surge and defy AI concentration risks,140514917,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"In the latest installment of Yahoo Finance's ETF Report, BlackRock head of iShares investment strategy for the Americas, Kristy Akullian, sits down with Julie Hyman to lay out where the biggest tech ETF inflows are happening as the latest bout of AI momentum stokes the flame of the market.",https://finnhub.io/api/news?id=7dcb1d8b8e5b60da05844dac0ad621db74ef96e1bce81b408a99a6bdbdd41c4f
