category,datetime,headline,id,image,related,source,summary,url
company,1780530276,Freedom Broker Downgrades Dollar General (DG),140518555,,DG,Fintel,,https://finnhub.io/api/news?id=dd7fc2a5e948c489db3be8a26725a27f0141460ec4b5ac0f548663041c367d4e
company,1780506480,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: Boyd Gaming, Chipotle Mexican Grill, Conagra, Dollar General, MGM Resorts International, Omnicom Group, Yum! Brands, and More",140514870,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DG,Yahoo,"Mid-Day Stocks: Stocks are trading lower on Wednesday, as oil and yields move higher. Once again, it was “Welcome back, my friends to the show that never ends.” On cue, the never-say-die stock market shook off early worries and all the major indices closed higher on Tuesday. Like the proverbial broken record, the S&P 500 ... Here Are Wednesday’s Top Wall Street Analyst Research Calls: Boyd Gaming, Chipotle Mexican Grill, Conagra, Dollar General, MGM Resorts International, Omnicom Group, Yum! Bra",https://finnhub.io/api/news?id=988ce3da7a305f3af97406b8862092e19b6ade63c32b6a6164f92468d5f90605
company,1780503397,"Freedom Broker Downgrades Dollar General to Hold, Raises Price Target to $140",140530120,,DG,Benzinga,Freedom Broker  analyst Georgy Vashchenko   downgrades Dollar General (NYSE:DG) from Buy to Hold and raises the price target from $95 to $140.,https://finnhub.io/api/news?id=76ef85a966654e5bcd071b5debacdc8f026ec12d4f4f2e997ea46d44e5d9f8ee
company,1780502089,"Ollie's Bargain Lifts Full-Year Earnings Guide, Trims Revenue Outlook",140513301,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DG,Yahoo,"Ollie's Bargain Outlet (OLLI) raised its full-year earnings outlook on Wednesday, while the discount",https://finnhub.io/api/news?id=bd95cb0da5c3c021e46d02245573358f7975daf2202b2835b8bd861d17c7c8ae
company,1780500126,Is Target Stock Outperforming the Dow?,140517396,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DG,Yahoo,"While Target has outpaced relative to the Dow over the past year, Wall Street analysts maintain a cautious outlook on the stock’s prospects.",https://finnhub.io/api/news?id=b38bfe5f833d08a8108405a5b8eaaf99a0e349f6595b2f6299b3d277684e879f
company,1780498620,"Is Costco Stock a Buy, Hold or Sell After Its Q3 Earnings Beat?",140514995,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DG,Yahoo,"Costco's Q3 beat delivers 9.8% comp-sales growth, surging digital demand and rising memberships, but its premium valuation complicates the near-term entry.",https://finnhub.io/api/news?id=1daf7282c6209508ff33cbeab7456acf173ed429b445ba9590429f88f21aa03d
company,1780496507,"Citigroup Maintains Neutral on Dollar General, Lowers Price Target to $116",140530121,,DG,Benzinga,Citigroup  analyst Paul Lejuez   maintains Dollar General (NYSE:DG) with a Neutral and lowers the price target from $138 to $116.,https://finnhub.io/api/news?id=021994b068fc478ddc18bde84ba65fdfe10612315e91f3f748278ccfa74691d4
company,1780494603,"Morgan Stanley Maintains Equal-Weight on Dollar General, Lowers Price Target to $132",140515477,,DG,Benzinga,Morgan Stanley  analyst Simeon Gutman   maintains Dollar General (NYSE:DG) with a Equal-Weight and lowers the price target from $150 to $132.,https://finnhub.io/api/news?id=1a643f8d0538a98504674b5f29ee34a200fb8fc5d8023c5909a8846d029a5d7b
company,1780492080,"Company News for Jun 3, 2026",140513449,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DG,Yahoo,"Companies in The News Are: DG,SIG,DCI,STM",https://finnhub.io/api/news?id=6a5139fce6a99c91f744627d4e0cd381b2165570ef94d0f660a79a370823ab82
company,1780489999,"Piper Sandler Maintains Neutral on Dollar General, Lowers Price Target to $118",140515478,,DG,Benzinga,Piper Sandler  analyst Peter Keith   maintains Dollar General (NYSE:DG) with a Neutral and lowers the price target from $133 to $118.,https://finnhub.io/api/news?id=bfffa220d31eb87d93913712dc6035524253feef4440405f0ec3ff1d71604c6b
