category,datetime,headline,id,image,related,source,summary,url
company,1780507324,"Intercontinental Exchange, Inc. (ICE) Presents at Piper Sandler Global Exchange and Fintech Conference Transcript",140516908,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ICE,SeekingAlpha,"Intercontinental Exchange, Inc. (ICE) Piper Sandler Global Exchange and Fintech Conference June 3, 2026 10:00 AM EDTCompany ParticipantsStuart Williams -...",https://finnhub.io/api/news?id=6d7d8a4edd014d5fe7f5a011444adf5b073dd4f7f7869ca7fab90dd3139b9171
company,1780505220,NYSE Content Update: Intercontinental Exchange Joins Anthropic's Project Glasswing,140515141,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,The New York Stock Exchange (NYSE) provides a midday update directly from the NYSE Trading Floor. Access today's midday update for market insights as trading continues.,https://finnhub.io/api/news?id=29c2ebeb085c12af4b7a5aab5f763aee7f1c8ce424cfd1788442036276dbbac1
company,1776958527,"Shares of companies in the broader financial sector are trading lower amid overall market weakness, as investors react to reports that air defenses were activated in Tehran and to President Trump's social media post.",139942573,,ICE,Benzinga,,https://finnhub.io/api/news?id=0622b3b1cf69372313b6a080b71ad40de736c090bef96f1b87643378103e97e6
company,1780494261,ICE Expands AI-Powered Cybersecurity Across NYSE and Financial Infrastructure Network (ICE),140513369,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,Intercontinental Exchange Inc. (NYSE:ICE) has strengthened its cybersecurity capabilities by joining Anthropic’s Project Glasswing initiative and deploying the company’s Claude Mythos Preview artificial intelligence platform across its global operations.,https://finnhub.io/api/news?id=0cfa97d17f010d3c97d075aa8c0fbfa823c736259d30e3224d340267f71a3c55
company,1780492057,Is Intercontinental Exchange Stock Underperforming the Nasdaq?,140516173,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,"While Intercontinental Exchange has underperformed the broader Nasdaq Composite over the past year, analysts remain highly bullish about the company's future growth potential.",https://finnhub.io/api/news?id=03d01e809c21ec30faae99da96161d339896a93f6d07fc9d03397f2dcddd33a3
company,1780491300,NYSE Content Update: Applied Aerospace & Defense Raises $650 Million in IPO,140512334,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,The New York Stock Exchange (NYSE) provides a daily pre-market update directly from the NYSE Trading Floor. Access today's NYSE Pre-market update for market insights before trading begins.,https://finnhub.io/api/news?id=39d3a4ab2583f0cb8f7570ef1e8dab67d67aac587533af813afb9708fa16e04b
company,1780489800,Intercontinental Exchange Reports May 2026 Statistics,140512335,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,"ATLANTA & NEW YORK, June 03, 2026--Intercontinental Exchange, Inc. (NYSE:ICE), one of the world’s leading providers of financial market technology and data powering global capital markets, today reported May 2026 trading volume and related revenue statistics, which can be viewed on the company’s investor relations website at https://ir.theice.com/ir-resources/supplemental-information in the Monthly Statistics Tracking spreadsheet.",https://finnhub.io/api/news?id=9637efb0f430ea9e66e880c404462b8a8c1d214eff24701b4ac18364e561ab4e
company,1780488000,Intercontinental Exchange Joins Anthropic’s Project Glasswing,140512336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,"ATLANTA & NEW YORK, June 03, 2026--Intercontinental Exchange, Inc. (NYSE: ICE), one of the world's leading providers of financial market technology and data powering global capital markets, today announced it is part of Anthropic’s cyber security initiative, Project Glasswing.",https://finnhub.io/api/news?id=6e62af9308fb239a2aac61b92566e687d86e4060841116ac349108d989ad8a1e
company,1780487100,Trump Officials Held Millions of Dollars of SpaceX Ahead of IPO,140512337,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,(Bloomberg) -- SpaceX’s initial public offering will likely make President Donald Trump’s already wealthy administration even richer.Most Read from BloombergTrump Begins Rebuilding His Tariff Wall Citing Forced LaborRussia Finance Officials Tell Putin War Spending Is UnaffordableTrump to Get Audit Immunity as $1.8 Billion Fund in DoubtTikTok Billionaire Overtakes Mukesh Ambani as Asia’s Second-Richest PersonAndrew Left Found Guilty in Case That Spooked Short SellersTen officials ranging from spe,https://finnhub.io/api/news?id=3cef0ecf85414134aec539984911db7796937e5bf9eb453594be9f65e0f64237
company,1780483620,How Is Moody's Stock Performance Compared to Other Broker-Dealers & Securities Exchanges Stocks?,140515142,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,"Moody's has underperformed the Broker-Dealers & Securities Exchanges industry over the past year, but analysts are moderately optimistic about the stock’s prospects.",https://finnhub.io/api/news?id=db0e7adf7a5d2f7d461a067687a86dcdd495b1997615e015647e46ba158ff6fb
company,1780483066,CME Group Stock: Is CME Underperforming the Financial Sector?,140515122,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ICE,Yahoo,"CME Group has underperformed the Financial sector over the past year, but analysts are moderately optimistic about the stock’s prospects.",https://finnhub.io/api/news?id=f83bbb3b45de0aa0e46fb5554a23335808019eb157a5d4d73fe2c3c78b965287
company,1780474215,"Intercontinental Exchange Joins Anthropic's Cyber Security Initiative, Project Glasswing",140516807,,ICE,Benzinga,"Cyber security initiative deployed across exchanges and clearinghouses, NYSE, FIDS, and mortgage technologyIntercontinental Exchange, Inc. (NYSE:ICE), one of the world&#39;s leading providers of financial market technology",https://finnhub.io/api/news?id=1d1e930c5b2e7a3b94d4b9bad0f1f1cc395726f51bd74661a3e7ee5c7c8fc475
