category,datetime,headline,id,image,related,source,summary,url
company,1780518946,Stocks Retreat as US-Iran Peace Hopes in Doubt,140519416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Wednesday closed down -0.74%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -1.21%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed down -0.29%. June E-mini S&P futures (ESM26 ) fell -0.78%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=c15b07df8063ea06404970f3a0d4374997f18827fce4fa4ca71d0429485a266d
company,1780517610,How The Medtronic (MDT) Investment Story Is Evolving After A Steady Analyst Update,140517362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,"Medtronic’s latest analyst update comes with no change in the stock’s price target, which keeps the formal outlook steady for now. Without a fresh adjustment to that figure, the focus shifts to how investors interpret a quiet move in a market that often reacts to even small tweaks. As you read on, you will see how to track these kinds of updates and what to watch as the Medtronic narrative develops over time. Wall Street's queuing for one rocket. While SpaceX counts down to its IPO, other...",https://finnhub.io/api/news?id=dca5dbd21eaee29d2fbf730e489271d4bc5243618710b1bbc51e7f34fdab99f5
company,1780515838,Sector Update: Healthcare Stocks Higher Late Afternoon,140516165,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,"Healthcare stocks rose late Wednesday afternoon, with the NYSE Healthcare Index increasing 0.6% and",https://finnhub.io/api/news?id=47a5e3e1c14870b2010507eebf8ff8101e10d1e10512c279b68820eacc4fcdff
company,1780515552,"Medtronic Q4 Organic Revenue Beat Driven by Cardiovascular, Medical Surgical Strength, Truist Says",140516166,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,Medtronic (MDT) reported fiscal Q4 organic revenue growth ahead of expectations amid strength in its,https://finnhub.io/api/news?id=ff62673e2d2fc7e404a78119e1f6fb277a0e1a747ecdc2cd761b67d061bc2438
company,1780513500,Wednesday's session: top gainers and losers in the S&P500 index,140515846,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MDT,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=6f8333afdbbc628a16bfbf77815d296ed2239843acfb739d18bf69da09e2db13
company,1780513224,Medtronic PLC (MDT) Q4 2026 Earnings Call Highlights: Record Revenue Growth and Strategic ...,140516167,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,"Medtronic PLC (MDT) reports its strongest top-line performance in a decade, driven by significant growth in Cardiac Ablation Solutions and strategic investments.",https://finnhub.io/api/news?id=1fa4f364cfb3d15233b7bab700cc723ffe0f2f208b28413942dd067ef37dc950
company,1780510628,Why Medtronic Stock Popped Today,140516168,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,Medtronic just wrapped up its best year in a decade.,https://finnhub.io/api/news?id=377f46263ea3c8da241654784d48170bbef7d02df85e285be014930f22f52b8d
company,1780510066,"Equities Fall Intraday, Oil Jumps Amid Renewed Middle East Tensions",140515997,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,"US benchmark equity indexes were lower intraday, while oil prices rose amid renewed hostilities in t",https://finnhub.io/api/news?id=d7d85df52d05b4db91363a8e12361e56bf3f432301c847dc9c39dd73871a660a
company,1780504500,These S&P500 stocks are moving in today's session,140513834,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MDT,ChartMill,Stay updated with the movements of the S&P500 index in the middle of the day on Wednesday. Discover which stocks are leading as top gainers and losers in today's session.,https://finnhub.io/api/news?id=e87f7c05b92ffe015e2da1de1bf4c7e9c95a37e66ada957eeebb0d900765306c
company,1780503007,How Medtronic’s Q4 Earnings Jump And 49th Straight Dividend Hike At Medtronic (MDT) Has Changed Its Investment Story,140515124,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDT,Yahoo,"In early June 2026, Medtronic reported fourth-quarter sales of US$9,807 million and net income of US$1,243 million, alongside a dividend increase to US$0.72 per share for the first quarter of fiscal 2027. This marks the company’s 49th consecutive yearly dividend increase, highlighting a long-running pattern of returning cash to shareholders even as it manages recent product recalls. We’ll now examine how Medtronic’s higher earnings and fresh dividend increase shape its investment narrative...",https://finnhub.io/api/news?id=c1b5f5a398a26c7cdfa98533e62346f7d52165c4179838040e991732ec4b2577
