category,datetime,headline,id,image,related,source,summary,url
company,1780530474,"Dow Jones Futures: Broadcom, CrowdStrike Dive On Earnings; SpaceX IPO Price Target Set",140518226,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Broadcom and CrowdStrike fell late on earnings. The SpaceX IPO price target and size have been set with the offering next week.,https://finnhub.io/api/news?id=50c083ac4ae5b0879e7e2186a323295d45052502acc3707230d844997539a307
company,1780529472,'Big Short' Star Steve Eisman Warns SpaceX Will Be A 'Retail Cult Stock' With A 'Crazy' Valuation Compared To NVDA,140518900,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"“Big Short” investor Steve Eisman said this week that SpaceX’s expected IPO valuation is “kind of crazy,” and the only way to justify it is for the stock to become a “retail cult stock.” SpaceX is expected to debut June...",https://finnhub.io/api/news?id=eca4cc9f61e4c7f2b18f39eb4f782a17f819b6a8c09c725b693bc7db0792c569
company,1780529336,Why Circle Internet Group Stock Tumbled Today,140518227,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"A trio -- or possibly, even a quartet -- of finance sector heavyweights is apparently rolling out a new stablecoin.",https://finnhub.io/api/news?id=19f2672a059050b339de0d70da2507df612423719aad3f58f7c43043be6bbfb6
company,1780529160,3 Compelling Costco Growth Drivers You Might Not Know About,140518228,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Costco's sales growth is accelerating.,https://finnhub.io/api/news?id=96f857ae85527962ad3b4f1d6a76e67cda8918e8f9bde410abb4246d44cba38a
company,1780528800,SpaceX or Tesla: What Will Be the Better Buy on June 12?,140518229,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,SpaceX stock is expected to begin trading by the end of next week.,https://finnhub.io/api/news?id=ae9de9c661e7de5330ace7574896a1ea355a7c9cc932d2fdcc35684e9dd0075c
company,1780528477,SK Hynix’s Trillion Won AI Bet With Nvidia Reshapes Growth Outlook,140518230,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"SK hynix (KOSE:A000660) has reached a $1t market capitalization. The company has secured major HBM4 supply orders from Nvidia. SK hynix is investing in significant new fabrication capacity to support HBM and DRAM production. SK hynix, a key DRAM and NAND producer, is now firmly at the center of the AI hardware supply chain as HBM4 becomes a core component for advanced accelerators. The new orders from Nvidia highlight how critical HBM has become for high performance computing, while long...",https://finnhub.io/api/news?id=1063c3c810366f02e6363029d7d077a61e63edabd87943efb3d417c5f971fd2b
company,1780528260,The Stock Market Is Still Trading Near Record Highs. Here's the Biggest Risk Investors Are Overlooking.,140518231,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"The major index funds are near record highs, but one risk hiding in plain sight could change the math for new money.",https://finnhub.io/api/news?id=01dbe44c8bda74993c9b0df6e97881ecb4326ada1ae0e54cdfeaa6671742f181
company,1780527785,Why GameStop Stock Popped Today,140518232,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,The retail store chain is successfully transitioning from video game seller to collectibles powerhouse.,https://finnhub.io/api/news?id=b1d0a89753c4f77e91e813180167441a35906131fd12a896d150ba05f85bc5a0
company,1780527707,Why Marvell Technology Bumped Higher Again on Wednesday,140518233,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,An analyst substantially raised his price target on the company.,https://finnhub.io/api/news?id=409019f5332c016c2a2facbef5a4012cee3a23c73341c2ce27117214896462ab
company,1780527601,Is Broadcom a Buy After Its Latest Earnings Report?,140518234,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,This may be a time to reset expectations.,https://finnhub.io/api/news?id=8c90daed2853f6498b2971494319aff143a881b94342fc2316259d2c5b79a4da
company,1780527120,Will Marvell Technology (MRVL) Really Become the Next Trillion-Dollar Stock?,140518235,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Marvell Technology (MRVL) is becoming one of Wall Street's hottest AI stocks after Nvidia (NVDA) CEO Jensen Huang called the specialized chip leader the ""next trillion-dollar company"".",https://finnhub.io/api/news?id=93d9b47a5fa70d61ff770a0f0be7e96c1abcb9ff234cf5fe4e56072606acf7c2
company,1780527000,Why ASML Stock Rose 13% in May,140518236,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,A bullish wave in the semiconductor sector lifted ASML.,https://finnhub.io/api/news?id=5c07a1f2ba7fc7145b4aa7bd247aae3a6d08c0f1429838a7bd1104531ac5b9ea
company,1780525868,Why Meta Platforms Stock Crushed the Market Today,140518237,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,It's rolling out a promising new product worldwide.,https://finnhub.io/api/news?id=890e7643b498ad63733c8b50efb2928056663a07aba38f4d1e7fc1edce50f2e5
company,1780525646,Most Income Investors Have Never Heard of These 3 ETFs Paying Over 10 Percent Monthly,140518238,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Three options-overlay ETFs are quietly paying double-digit annual distribution rates on a monthly (or weekly) schedule, and most income investors have never touched them. YieldMax Ultra Option Income Strategy ETF (NYSEARCA:ULTY) is throwing off roughly 50% annualized through weekly checks. NEOS Nasdaq-100 High Income ETF (NASDAQ:QQQI) and NEOS S&P 500 High Income ETF (CBOE:SPYI) sit ... Most Income Investors Have Never Heard of These 3 ETFs Paying Over 10 Percent Monthly",https://finnhub.io/api/news?id=05552f694b8faddac42bb8a99fd6b46d4ba3dcdeb1e44186441d13e3fb04ec63
company,1780525200,Canopy Growth Just Made a Big Acquisition: Game-Changer -- or Another Misstep?,140518239,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,It will likely be more of the same from here on out for this cannabis player.,https://finnhub.io/api/news?id=46fcc27c32792b82e8d05541042d7f5fafa29164fb5daa52892cb0d53abb34b6
company,1780524720,Marvell Stock Closes at a Record High. The Next Big Catalyst Is in Sight.,140518240,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Marvell Technology stock was surging again Wednesday and its recent gains could mean inclusion in the S&P 500 index becomes inevitable.,https://finnhub.io/api/news?id=860ed1e57eea6082237bd9e1fc659d397b511e75117b38b4f8500b45873d3396
company,1780524450,Broadcom's AI Revenue Just Soared 143%. So Why Is the Stock Falling?,140518241,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,The data center and networking specialist just offered definitive proof that AI adoption is soaring. The stock is down anyway.,https://finnhub.io/api/news?id=3ac7f9f8c9c3afa1189de5904de3ce5f100937d84365bc7df7e60a1558b3c5f0
company,1780523559,"Dow Jones Futures Fall As Broadcom, CrowdStrike Dive On Earnings; SpaceX IPO Price Target Set",140517151,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Broadcom and CrowdStrike fell late on earnings. The SpaceX IPO price target and size have been set with the offering next week.,https://finnhub.io/api/news?id=e7259a4950e758b420473cc836c09fd9c8e69ee9ada3f39fdb13a48e355023ac
company,1780523100,Where Will Nike Stock Be in 5 Years?,140517152,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Over the past five years, the sportswear and sneaker giant's shares have fallen by almost 68%.",https://finnhub.io/api/news?id=a6f6c73a6535dd1cb37ed003d53f15777e6ca7ad1609e51ba01c2bc20739f1d3
company,1780522575,"Stock Market Today, June 3: Markets End Winning Streak on Middle East Escalation Fears",140517153,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Today, June 3, 2026, oil racing back toward $100 and Iran-related tensions rattled risk appetite as AI bellwethers faced fresh bubble talk.",https://finnhub.io/api/news?id=9921b30f657bfc8f12334224db9c6b89661b454908e3599d9352440adf497974
company,1780522560,"SpaceX Targets IPO Price of $135, Raising $75 Billion",140518242,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"SpaceX will be selling 555,555,555 shares, raising about $75 billion, which would value the company at about $1.75 trillion.",https://finnhub.io/api/news?id=62e3a355a4657df75e7ba6b6c899781ddb94d2a19ebb100f23339293489b0c0f
company,1780522500,"This Stock Is Up 1,000% Over the Past Year. Is There More Upside Ahead?",140517154,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,A recent dip may turn out to be a great opportunity.,https://finnhub.io/api/news?id=c04ed943b0614ef2f36ad8020de8cb20a96329f0eaecc9752668cda1d34ae772
company,1780521600,"Got $10,000? 3 Stocks to Own for the Rise of Agentic AI",140517155,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,These three growth stocks are set to be agentic AI winners.,https://finnhub.io/api/news?id=3470c4993dac5c87d55391cc519599871219b2213c64da5d744d8a5b17a474ba
company,1780490220,Intel Stock Jumps After 5-Day Losing Streak as Markets Get a Reminder of Its CPU Strength,140512154,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Intel  stock is back on the rise again Wednesday and set to emphatically snap a five-day losing streak.  The shares were up 6% to $114.43 in premarket trading.  The chip maker had a meteoric rise earlier this year, surging 214% between Mar. 30 and May 11.",https://finnhub.io/api/news?id=62c603a314f0f381239cc767f28e200f7cd7e84ee8f267ff31473af5bd702e60
company,1780520580,Broadcom Stock Falls After Earnings. Here’s Why.,140517157,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Broadcom reported earnings Wednesday after AI-related revenue more than doubled in the prior quarter, with investors focused on guidance and demand from hyperscale customers.",https://finnhub.io/api/news?id=777a9777c419ad702a63f6adfe7017a00b801e03b3764a812df48a35cfb53b81
company,1780520510,SpaceX's IPO is set to be the biggest ever and could make Elon Musk a trillionaire,140517158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"SpaceX says it plans to raise up to $75 billion when it goes public this month, setting the stage for the largest-ever stock market debut and putting Elon Musk on course to becoming the world's first trillionaire.  The company, formally known as Space Exploration Technologies Corp., said Wednesday it will sell 555.6 million shares at $135 a piece.  The offering would give SpaceX a market value of $1.77 trillion.",https://finnhub.io/api/news?id=488826ce31fc041524d13555c0dd038fa7db8fe136bc637514471d74944d1e33
company,1780519874,Broadcom Beats Second-Quarter Views as AI Revenue More Than Doubles,140517159,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Broadcom (AVGO) late Wednesday reported fiscal second-quarter results above Wall Street's estimates,https://finnhub.io/api/news?id=ea022cf2197478027ca90b8214b067efd818777ff407b891b9ba2660e6a3301a
company,1780519800,Is Joby Aviation Stock Your Ticket to Becoming a Millionaire?,140517160,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Joby Aviation recently did something no eVTOL company has done before. Will it change this stock's 2026 slump?,https://finnhub.io/api/news?id=d0bea7d43cf4862468d97434d6fcb48ac9817296b22908934dc9850750098134
company,1780519560,AI Data Centers Are Driving a Battery Boom. Finding the Right Stocks Is the Hard Part.,140517161,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Tech companies and utilities are rushing to build multi-acre battery installations for AI data centers and other uses.,https://finnhub.io/api/news?id=5fee6ecbcba9e962d96dc71862fb87a49a2a260273b99bb21612a50ce5775eb7
company,1780519402,"Destination XL Group, Inc. Q1 2026 Earnings Call Summary",140517162,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Moby summary of Destination XL Group, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=18af8daf278755a4a8143c766febd840fbeabb7ed311aad51d94f1c5f5ef83cf
company,1780518900,Should You Forget the $2 Trillion SpaceX IPO and Buy This $7 Space Stock Instead?,140517163,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,SpaceX is gearing up for what could be the largest IPO in history later this month.,https://finnhub.io/api/news?id=11e93d7c05e6dacfc53374d9dae83dcc4370a225613efa4bd3d6fc12b921974b
company,1780518747,Wall Street Snaps Record Rally Amid Re-Escalation in Middle East Conflict,140517164,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,US equities snapped their record-setting rally on Wednesday as renewed hostilities in the Middle Eas,https://finnhub.io/api/news?id=bc5ac53e46e05872dbb87f3109f778a5ef26e5c2962f1c89eb30e24121fda034
company,1780518120,"The Best High-Yield Dividend Stocks to Buy With $1,000 in June",140517165,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,The right time to add more exposure to dividend payers is often when it seems there's no reason to.,https://finnhub.io/api/news?id=eb875158c6c78ea1ee30cdd08add7cdd8a76d9eecbe74146670b2efff7eb4c4e
company,1780517882,Broadcom's second-quarter revenue misses estimates as competition bites,140517166,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Broadcom missed Wall Street expectations for second-quarter revenue on Wednesday, as increased competition in the custom semiconductor market ‌hurt gains from its AI chips, sending its shares down more than 11% ‌in extended trading.  Second-quarter revenue came in at $22.19 billion, missing estimates of $22.27 billion, as Broadcom races with Nvidia whose ​dominant graphics processing units remain the industry standard for AI workloads.  Rivals such as Marvell Technology are also making inroads with key hyperscale customers.",https://finnhub.io/api/news?id=f9bfd439d5d6a5fdd3b874588f014e236e6f7e683af2bb2085eb4213008cb724
company,1780517563,Broadcom Adds $280 Billion Before Earnings as AI Rally Faces Test,140517167,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Chip giant heads into earnings after a 65% rebound and rising AI spending expectations.,https://finnhub.io/api/news?id=91bf39081798eeb0910fa786a8c215e6ac26e60beeaa89ad579dc4190c392bad
company,1780517400,RiverPark Long/Short Opportunity Fund Q1 2026 Key Contributors And Detractors,140518482,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2262913202/image_2262913202.jpg?io=getty-c-w1536,NVDA,SeekingAlpha,"RiverPark Long/Short Opportunity Fund highlights Q1 2026 performance, led by Applied Materials. Read the full analysis for more details.",https://finnhub.io/api/news?id=6eb88e7894b18657c89dc5f2556c449237b6b315a5703e91050029546000c413
company,1780515300,"This Stock Has No Business Being This Good, and It Just Keeps Going",140515966,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"This aerospace giant reported strong first-quarter 2026 earnings, and there's more good news on tap.",https://finnhub.io/api/news?id=44f74b8753a4f79952973e076d123e70dd54ce55d9345428a8eb2c7750c5f11b
company,1780514400,Micron Just Reached a $1 Trillion Market Cap. Is It Too Late to Buy the Stock?,140515968,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"Micron has joined the trillion-dollar club, but investors may be focusing on the wrong question.",https://finnhub.io/api/news?id=bea881d7dcad91e96c3203ebceb65f5f56fe81917ce9c41725d5c6df78828f5d
company,1780514400,"3 Absurdly Cheap Dividend Stocks to Buy With $1,000 Right Now",140515967,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,These stocks pay between 4.2% and 6.7% in dividends.,https://finnhub.io/api/news?id=87d24180da9454ec9ba3fd7bba3cc2f3608509adb45b8b6144b45c1bd675c943
company,1780513947,"Move Over, Magnificent 7. Traders Are Flocking to SanDisk, Marvell, Micron, and the Parabolic 7",140515969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,"The Magnificent 7 has a new challenger. Strategist Ben Emons, in a post amplified by Bloomberg’s Joe Weisenthal on X, has dubbed a basket of seven semiconductor and AI-hardware names the “Parabolic 7.” Weisenthal’s shared data suggests that the group has vastly outperformed both the Magnificent 7 and the SOX semiconductor index since mid-2025. The ... Move Over, Magnificent 7. Traders Are Flocking to SanDisk, Marvell, Micron, and the Parabolic 7",https://finnhub.io/api/news?id=3b990cbd787a9750fd88386b28d774859d949691f92cb597014313961823daea
company,1780513802,What's going on in today's session: dow jones movers,140515847,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,NVDA,ChartMill,Join us in exploring the top gainers and losers within the dow jones index one hour before the close of the markets on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=f12eae3674694cf425f50d042292f0735b68447f2c30d7b4dfe9d35bd11e5ca5
company,1780513754,Forget Zepbound: Eli Lilly's Next Billion-Dollar Weight-Loss Drug May Be Even Better,140515970,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVDA,Yahoo,Can any company pose a serious challenge to Eli Lilly in the weight-loss market?,https://finnhub.io/api/news?id=86b6019d1b613492a6018430640020d825ad7d8eb5a857d1f063641e46aac276
