category,datetime,headline,id,image,related,source,summary,url
company,1780518946,Stocks Retreat as US-Iran Peace Hopes in Doubt,140519416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SHW,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Wednesday closed down -0.74%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -1.21%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed down -0.29%. June E-mini S&P futures (ESM26 ) fell -0.78%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=c15b07df8063ea06404970f3a0d4374997f18827fce4fa4ca71d0429485a266d
company,1780513802,What's going on in today's session: dow jones movers,140515847,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,SHW,ChartMill,Join us in exploring the top gainers and losers within the dow jones index one hour before the close of the markets on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=f12eae3674694cf425f50d042292f0735b68447f2c30d7b4dfe9d35bd11e5ca5
company,1780504905,AkzoNobel Slammed the Door on a Buyout and Got Crushed,140515155,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SHW,Yahoo,The Dutch coatings giant is paying a heavy price for backing its own transatlantic marriage over an immediate multi-billion-euro payday.,https://finnhub.io/api/news?id=f04d1fbb84f0bbc477dc4ec04fb9a06aae7e7b13c0c07063356e837363f11725
company,1780504802,Top dow jones movers in Wednesday's session,140513835,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,SHW,ChartMill,Join us in exploring the top gainers and losers within the dow jones index in the middle of the day on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=7e1cb0184f6aeb9ddbe16925bff29adde63c5afab579bff30d0eeaf1f3ab0d26
company,1780499967,Stocks Fall on Escalation of US-Iran Hostilities,140517249,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SHW,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.40%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.74%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.08%. June E-mini S&P futures (ESM26 ) are down -0.48%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=8e0eeea37dc5e4a18989382aba354fb4747c08ecfc61e2ee0d1891492342b086
company,1780491865,"US Equity Futures Mixed Pre-Bell as US, Iran Continue Military Strikes in Middle East",140512208,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SHW,Yahoo,US equity futures were mixed pre-bell Wednesday as the US and Iran exchanged military strikes in the,https://finnhub.io/api/news?id=84f436b4cdab4735eb6db9824a4649c7528f9a05db910847a82dc3d57ab3f78b
company,1780490100,Wondering what's happening in today's S&P500  pre-market session?,140511763,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,SHW,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Wednesday?,https://finnhub.io/api/news?id=fb46dad0511c55c66f27ea25d6a3596bf95193a675282660f9d7ec077c8b06f4
company,1780479173,Is Ecolab Stock Underperforming the S&P 500?,140513391,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SHW,Yahoo,"Ecolab has lagged behind the S&P 500 Index over the past year, and analysts remain somewhat optimistic about the stock’s growth potential.",https://finnhub.io/api/news?id=79b737f124176064826708c7b6f9050122cc6c5dac8a0277b00d69b7eb9d99a6
company,1780473120,"AkzoNobel Shares Plunge After Sherwin-Williams, Nippon Paint Drop $14.5 Billion Bid",140512347,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SHW,Yahoo,AkzoNobel shares were down 19% after Nippon Paint and Sherwin-Williams ended their pursuit of the company.,https://finnhub.io/api/news?id=213470d21070c5ea88e797ff0c762fae7f165595d0c4b933f20b7ffb626c6f33
company,1780470000,Nippon Paint Group and Sherwin-Williams End Pursuit of AkzoNobel,140510433,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SHW,Yahoo,Nippon Paint Group and Sherwin-Williams today announced that they have decided to end their efforts to jointly acquire AkzoNobel.,https://finnhub.io/api/news?id=ac4ed8c45f78ab225fa4c6a66b95f6b55e494309e40ed6183c8ec38fc8107dca
