category,datetime,headline,id,image,related,source,summary,url
company,1780514699,Supermicro Stock Soars 85% in a Month. It’s Time to Worry About Its Valuation.,140518984,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,"As a leading supplier of high-performance AI servers and storage solutions, Supermicro appears well-positioned to capitalize on AI infrastructure boom.",https://finnhub.io/api/news?id=804a18d26dc17928727f0077fce275f5b49609c4acbf97c4e8f05efc1a0ac482
company,1780513980,5-star analyst resets Oracle stock price target,140516091,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,"Oracle (ORCL) stock closed the June 2 trading session down 1.44% at $244.58. Despite this slight drop, the stock is now up about 25.48% year to date, at the time of writing, Wednesday morning, June 3. Meanwhile, the SPDR S&P 500 Index (SPY) is up about 11.39% in the same period. Oracle has ...",https://finnhub.io/api/news?id=c0e14d8010135d17a45cac47b8eb73c6ca3eb40041b3816dfed272493238f765
company,1780513500,Wednesday's session: top gainers and losers in the S&P500 index,140515846,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,SMCI,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=6f8333afdbbc628a16bfbf77815d296ed2239843acfb739d18bf69da09e2db13
company,1780509900,Stay informed about the most active stocks in the S&P500 index on Wednesday's session.,140515357,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,SMCI,ChartMill,Stay informed about the most active stocks in the S&P500 index on Wednesday's session. Discover the stocks that are generating the highest trading volume and driving market activity.,https://finnhub.io/api/news?id=320cfb07b1ec883b3cb230e28ea4e5abf395bec9151b8ed98b923ce3fcd10857
company,1780508277,"Super Micro Computer Sinks 9%, Gorilla Technology Tumbles 20% Despite $2 Billion India AI Infrastructure Deal",140514860,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,"Shares of Super Micro Computer (NASDAQ:SMCI) and Gorilla Technology Group (NASDAQ:GRRR) are both selling off hard in midday trading on Wednesday, June 3. SMCI stock is down 9% to $45.80, while GRRR stock has tumbled 20% to $17.45. The catalyst is, ironically, a positive one. Super Micro Computer and Gorilla Technology announced a roughly $2 ... Super Micro Computer Sinks 9%, Gorilla Technology Tumbles 20% Despite $2 Billion India AI Infrastructure Deal",https://finnhub.io/api/news?id=1321d3ea7350f74cf67afb16f158048135f55d3f4e968accdf59a571df3431af
company,1780504500,These S&P500 stocks are moving in today's session,140513834,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,SMCI,ChartMill,Stay updated with the movements of the S&P500 index in the middle of the day on Wednesday. Discover which stocks are leading as top gainers and losers in today's session.,https://finnhub.io/api/news?id=e87f7c05b92ffe015e2da1de1bf4c7e9c95a37e66ada957eeebb0d900765306c
company,1780501664,Super Micro Computer Just Unveiled the New AMD Helios Platform. What That Means for SMCI Stock.,140517427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,Is doubling down on AI infrastructure with AMD's Helios platform enough to fuel SMCI's next move?,https://finnhub.io/api/news?id=116b204250aa46bc17d7953187d5ae1b1e689c51f05fadf9cbc481e7a46031a9
company,1780497301,Wednesday's session: gap up and gap down stock in the S&P500 index,140512693,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,SMCI,ChartMill,Curious about the S&P500 stocks that are gapping on Wednesday? Explore the gap up and gap down stocks in the S&P500 index during today's session.,https://finnhub.io/api/news?id=9d2d251c1f47167febe4a446fd4d67eadd5f79c343165ece7ca3a493d5c2e851
company,1780495431,A $2 Billion Reason to Buy Little-Known Gorilla Technology Stock Right Now,140517428,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,Gorilla Technology just closed a $2 billion AI infrastructure deal with Supermicro.,https://finnhub.io/api/news?id=2826d404f9a290563b4100d9385f2747f007da55235d8586fbfbcb15db1deb0d
company,1780492363,Why Super Micro Computer Stock Is Falling On Wednesday?,140514824,https://cdn.benzinga.com/files/images/story/2026/06/03/Supermicro-Computer-Logo-On-Smartphone-S.jpeg?width=2048&height=1536,SMCI,Benzinga,Super Micro Computer experiences volatility on Wednesday as traders lock in profits following a massive 145% breakout rally.,https://finnhub.io/api/news?id=671af7d85a27b6895754961df2308c2e06d718505832308952d6f3e2d155d167
company,1780474037,GRRR Stock Slides Premarket Despite A $2B AI Deal With Supermicro — Here's Why,140510942,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,Gorilla filed to expand its shelf-registration capacity by $17.9 million on Tuesday.,https://finnhub.io/api/news?id=10cc23cf615209f48bc823bbf9ce90e59b676192cb3ca42d7cd6500d5dd790f5
company,1780456172,AMD Helios Rack Platform Puts AI Data Center Ambitions Against Nvidia,140509464,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,"Super Micro Computer launched its rack-scale AMD Helios platform at Computex 2026, built on AMD’s Instinct MI455X GPUs and EPYC CPUs. The Helios platform targets hyperscale AI infrastructure for large language model training, inference, and broader AI workloads. The launch coincides with new AI PC and chip announcements from Nvidia, sharpening competitive attention on NasdaqGS:AMD in AI and data center markets. For investors tracking NasdaqGS:AMD, the new Helios platform brings additional...",https://finnhub.io/api/news?id=16ffab59a2f8320f2bb76d7e92474a19574f3796d3d7c7409e058a2898a8b4c5
company,1780445603,"IPG Photonics, MACOM, and Amkor Shares Skyrocket, What You Need To Know",140508699,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,A number of stocks jumped in the afternoon session after Jensen Huang's (Nvidia's CEO) GTC Taipei keynote at Computex reframed how large and how long the AI chip cycle will run.,https://finnhub.io/api/news?id=8db03ab61d82d4363586944da8053d50e71a9de2add30e80f68764e4f2b812d1
company,1780445123,"Himax, FormFactor, and Vishay Intertechnology Shares Skyrocket, What You Need To Know",140508701,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,A number of stocks jumped in the afternoon session after Jensen Huang's (Nvidia's CEO) GTC Taipei keynote at Computex reframed how large and how long the AI chip cycle will run.,https://finnhub.io/api/news?id=fcd29168c7e55044c6a0159d7850f353b785819cf55bff69b160d4e8e5405ef2
