category,datetime,headline,id,image,related,source,summary,url
company,1780524720,Marvell Stock Closes at a Record High. The Next Big Catalyst Is in Sight.,140518240,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,Marvell Technology stock was surging again Wednesday and its recent gains could mean inclusion in the S&P 500 index becomes inevitable.,https://finnhub.io/api/news?id=860ed1e57eea6082237bd9e1fc659d397b511e75117b38b4f8500b45873d3396
company,1780522575,"Stock Market Today, June 3: Markets End Winning Streak on Middle East Escalation Fears",140517153,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"Today, June 3, 2026, oil racing back toward $100 and Iran-related tensions rattled risk appetite as AI bellwethers faced fresh bubble talk.",https://finnhub.io/api/news?id=9921b30f657bfc8f12334224db9c6b89661b454908e3599d9352440adf497974
company,1780521316,These Experts Say the Memory-Stock Runup May Not Be Over Yet,140518285,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"Growing demand and rising prices could mean even more gains ahead for these memory stocks, after a blistering rally in recent months, according to analysts at Morgan Stanley.",https://finnhub.io/api/news?id=4db687586a84fa521ac1ff1c5b125b0d7f09a75d8376e1c6447d60ec9a4809ad
company,1780519207,"SNDK Stock Hits Record High: Morgan Stanley Raises PT By 59%, Sees Further Upside Ahead",140518335,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"Morgan Stanley raised the firm's price target on SanDisk to $1,750 from $1,100 on Wednesday.",https://finnhub.io/api/news?id=8a522e066c147df9bb1a339ff7d8a21d7b749be123ee4cea99d6c1fc782f13cf
company,1780518946,Stocks Retreat as US-Iran Peace Hopes in Doubt,140519416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Wednesday closed down -0.74%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -1.21%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed down -0.29%. June E-mini S&P futures (ESM26 ) fell -0.78%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=c15b07df8063ea06404970f3a0d4374997f18827fce4fa4ca71d0429485a266d
company,1780518325,US Equity Markets Lower After Middle East Situation Worsens,140517312,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,US equity indexes were lower on Wednesday after the situation in the Middle East worsened following,https://finnhub.io/api/news?id=62fe05572935ae29e6915e1e09eca031eced54cd449714625afdbc7b835f3ef5
company,1780513947,"Move Over, Magnificent 7. Traders Are Flocking to SanDisk, Marvell, Micron, and the Parabolic 7",140515969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"The Magnificent 7 has a new challenger. Strategist Ben Emons, in a post amplified by Bloomberg’s Joe Weisenthal on X, has dubbed a basket of seven semiconductor and AI-hardware names the “Parabolic 7.” Weisenthal’s shared data suggests that the group has vastly outperformed both the Magnificent 7 and the SOX semiconductor index since mid-2025. The ... Move Over, Magnificent 7. Traders Are Flocking to SanDisk, Marvell, Micron, and the Parabolic 7",https://finnhub.io/api/news?id=3b990cbd787a9750fd88386b28d774859d949691f92cb597014313961823daea
company,1780513500,Wednesday's session: top gainers and losers in the S&P500 index,140515846,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,SNDK,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=6f8333afdbbc628a16bfbf77815d296ed2239843acfb739d18bf69da09e2db13
company,1780509960,Marvell Stock Climbs Toward a Record High. The Next Big Catalyst Is in Sight.,140516126,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,Marvell Technology stock was surging again Wednesday and its recent gains could mean inclusion in the S&P 500 index becomes inevitable.,https://finnhub.io/api/news?id=038b28142be12616c98f70e54b49960ef3995eebf9117044b71b8c244a6b84b3
company,1780504862,Why SanDisk Stock Is Soaring to a New All-Time High Today,140515059,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,SanDisk stock is on an incredible hot streak and has just set another new valuation record.,https://finnhub.io/api/news?id=8edb328efa4f38262889812b1a372b1e57a89dc58d16f0485eb7dd786cd712a0
