category,datetime,headline,id,image,related,source,summary,url
company,1780524000,Ulta Beauty inks $400M Times Square lease at Jeff Sutton’s 1551 Broadway,140517429,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ULTA,Yahoo,"Jeff Sutton and Ulta Beauty’s Kecia Steelman with 1551 Broadway (Ulta Beauty, Google Maps, Getty)Beauty retailer Ulta Beauty has inked a massive $400 million lease at Jeff Sutton’s marquee Midtown retail property in Times Square, The Real Deal has learned. The Illinois-based cosmetics and skincare retailer will occupy all four floors of the 26,000-square-foot building at 1551 Broadway, owned by Sutton’s Wharton Properties. The 15-year lease also includes the building’s 250-foot LED sign, a sourc",https://finnhub.io/api/news?id=4a8305b244e13b08ed59403cf3d71e29b66bb6ab4af55e96f6a1b62456750ac5
company,1780518946,Stocks Retreat as US-Iran Peace Hopes in Doubt,140519416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ULTA,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Wednesday closed down -0.74%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -1.21%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed down -0.29%. June E-mini S&P futures (ESM26 ) fell -0.78%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=c15b07df8063ea06404970f3a0d4374997f18827fce4fa4ca71d0429485a266d
company,1780513370,Ulta Beauty Q1 Earnings Call Highlights,140516319,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ULTA,Yahoo,"Ulta Beauty (NASDAQ:ULTA) reported double-digit sales and earnings growth in the first quarter of fiscal 2026, with management citing broad-based gains across channels and major merchandise categories, stronger gross margin and continued traction from strategic initiatives including international ex",https://finnhub.io/api/news?id=d92449c449eeb237fe84a6f798a00361e3e968aa90e69b9082f49c94fbce341c
company,1780511013,"ULTA Q1 Deep Dive: E-Commerce, Exclusive Brands, and Competitive Pressures Shape Outlook",140516320,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ULTA,Yahoo,"Beauty, cosmetics, and personal care retailer Ulta Beauty (NASDAQ:ULTA) beat Wall Street’s revenue expectations in Q1 CY2026, with sales up 11.1% year on year to $3.16 billion. Its GAAP profit of $7.74 per share was 12.1% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=7537fe9f6a06e03fbf21038c9c95611edab521fe316c7bb628f07d86e1848a3c
company,1780509724,"Final Trade: CCJ, ULTA, AVGO, VLO",140524860,https://image.cnbcfm.com/api/v1/image/108316419-17805240241780524022-46332433874-1080pnbcnews.jpg?v=1780524023&w=1920&h=1080,ULTA,CNBC,The final trades of the day with CNBC's Melissa Lee and the 'Fast Money' traders.,https://finnhub.io/api/news?id=63f70e354adbc61ec51c8d259f9caabb7bfb33e32ff67964aa36b427ad791309
company,1780506581,Does Ulta’s Raised EPS Outlook And Supergirl Tie-In Change The Bull Case For Ulta Beauty (ULTA)?,140515219,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ULTA,Yahoo,"Ulta Beauty reported past first-quarter 2026 results with sales of US$3,163.86 million and diluted EPS of US$7.74, lifted its full-year EPS outlook slightly, and continued its share repurchase program while maintaining net sales growth guidance. Alongside these financial updates, Ulta Beauty’s exclusive Supergirl film partnership and expanded delivery and international initiatives highlight how the retailer is pairing marketing scale with broader distribution to support its beauty...",https://finnhub.io/api/news?id=80d8f4ea6bf060559ac281138d6c3719e2193a29d50a658489416f5b62df6382
company,1780506300,Let's take a look at the S&P500 stocks that are experiencing unusual volume in today's session.,140513999,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,ULTA,ChartMill,Let's take a look at the S&P500 stocks that are experiencing unusual volume in today's session.,https://finnhub.io/api/news?id=602a84f378cdb44af9f1fc2ba1fe81b0857d7377ea8b53a5e1fca82d1e55b778
company,1780500060,"Ulta Beauty Lifts FY26 View as Q1 Earnings Beat, Comps Rise 5.3%",140515088,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ULTA,Yahoo,"Ulta Beauty beats on Q1 FY26 earnings and sales as comps rise 5.3%, helped by Space NK, leading the retailer to raise its full-year view.",https://finnhub.io/api/news?id=b64b51a01b4e56c55222e70cb72f5c019959c1a15bd71344a1e626a33b8666fb
company,1780499967,Stocks Fall on Escalation of US-Iran Hostilities,140517249,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ULTA,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.40%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.74%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.08%. June E-mini S&P futures (ESM26 ) are down -0.48%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=8e0eeea37dc5e4a18989382aba354fb4747c08ecfc61e2ee0d1891492342b086
company,1780499391,"UBS Maintains Buy on Ulta Beauty, Lowers Price Target to $735",140517577,,ULTA,Benzinga,UBS  analyst Michael Lasser   maintains Ulta Beauty (NASDAQ:ULTA) with a Buy and lowers the price target from $810 to $735.,https://finnhub.io/api/news?id=0492f1e177dfb97a11550f240bd3a9d0fb6c5096228f22da9403efb67fdff767
