category,datetime,headline,id,image,related,source,summary,url
company,1780522923,Exclusive: Inside Yum's effort to predict what customers will crave next,140517412,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,"Yum Brands is using AI, data science and predictive market research to identify potential menu winners across Taco Bell , KFC, Pizza Hut and Habit Burger & Grill, the company revealed exclusively with Axios.",https://finnhub.io/api/news?id=926441daa0c8ed6ff0a8d83a62f5cea4fcb675239015cf93d3666be750a3e368
company,1780506480,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: Boyd Gaming, Chipotle Mexican Grill, Conagra, Dollar General, MGM Resorts International, Omnicom Group, Yum! Brands, and More",140514870,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,"Mid-Day Stocks: Stocks are trading lower on Wednesday, as oil and yields move higher. Once again, it was “Welcome back, my friends to the show that never ends.” On cue, the never-say-die stock market shook off early worries and all the major indices closed higher on Tuesday. Like the proverbial broken record, the S&P 500 ... Here Are Wednesday’s Top Wall Street Analyst Research Calls: Boyd Gaming, Chipotle Mexican Grill, Conagra, Dollar General, MGM Resorts International, Omnicom Group, Yum! Bra",https://finnhub.io/api/news?id=988ce3da7a305f3af97406b8862092e19b6ade63c32b6a6164f92468d5f90605
company,1780502700,Yum! Brands Keeps Growing. Why the Stock Price Will Follow.,140515191,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,"Yum offers some of the strongest growth potential among franchised restaurant companies, yet the stock fails to reflect those advantages., one analyst says.",https://finnhub.io/api/news?id=411ab8cf543af8a655977bc4590e533cd960f7d31bddc56a261a90bb8aa61722
company,1780500538,"Chipotle Mexican Grill Narrative Not Likely to Change Quickly, Morgan Stanley Says",140513421,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,Chipotle Mexican Grill (CMG) narrative is not likely to change quickly and its sales drivers are les,https://finnhub.io/api/news?id=df2f84bea4fda4c455325dcda4c1692cc32dc389ca35587447969deffdb1b6fe
company,1780496700,Slice of the Pie: Why Yum’s Deal Lifts QSR,140523757,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,"The recent strategic divestiture by Yum Brands establishes a highly lucrative valuation floor, positioning Restaurant Brands International for gains.",https://finnhub.io/api/news?id=5fee0bb4abbd0aa9f9ceb12d3ac5d598877f4e87310cc80daf1e17f3a505be8c
company,1780495423,Yum! Brands COO Tracy Skeans announces retirement,140513430,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,"Skeans started at Yum! Brands in 2000 as a finance analyst and moved through roles in finance, people and strategy.",https://finnhub.io/api/news?id=dbd60281159a4d95352893fe7da57cf0c430896aa94dcbc0db13e793a0abc0e0
company,1780494944,"Yum! Brands upgraded, Chipotle downgraded: Wall Street's top analyst calls",140512429,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,"Yum! Brands upgraded, Chipotle downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=463cebdd2f99abffd071c69212bff0b73e4bb73dd8dab30539e1a539653e509c
company,1780493194,"Morgan Stanley backs Yum  Brands, cuts Chipotle rating as growth outlook diverges",140512381,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,"Investing.com -- Morgan Stanley has upgraded Yum Brands to Overweight from Equal-weight while downgrading Chipotle Mexican Grill to Equal-weight, arguing that the fast-food giant offers a more attractive combination of growth, value positioning, and technology-driven upside in an increasingly cautious consumer environment.",https://finnhub.io/api/news?id=93f1f48fc3debd4258ab0872bf66ca7bb164dd6408c4c32cef23cb3fdfb5b241
company,1780492426,"Stocks making the biggest moves midday: Exxon Mobil, GameStop, Palo Alto Networks, Blackstone & more ",140514253,https://image.cnbcfm.com/api/v1/image/108073860-1733849015203-gettyimages-2187616228-tang-notitle241204_npeNw.jpeg?v=1780506315&w=1920&h=1080,YUM,CNBC,Here are the companies making headlnes in midday trading.,https://finnhub.io/api/news?id=dba7eace7f9814dbd5ccfc7639af12e135ca533104440d77814866822f692c82
company,1780488474,Morgan Stanley Upgrades Yum! Brands (YUM),140511732,,YUM,Fintel,,https://finnhub.io/api/news?id=3ca64f817080f63ce82d6a25acca6217a06cdb1a1cbd70359739aada2801b95a
company,1780477652,Yum Brands COO to retire after 25 years,140513432,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,YUM,Yahoo,Tracy Skeans helped the company emerge as one of the clear QSR winners after the COVID-19 pandemic.,https://finnhub.io/api/news?id=197c546af40dcc4a69cd353018c40128c41d4fea1c1f11a490f32b4caeae5b68
company,1780471889,"Stocks making the biggest moves premarket: Blackstone, Marvell Technology, Palo Alto Networks & more",140514399,https://image.cnbcfm.com/api/v1/image/107384366-1709847784005-gettyimages-108936784-MARVELL_SUTARDJA.jpeg?v=1756471238&w=1920&h=1080,YUM,CNBC,These are the stocks posting the largest moves premarket.,https://finnhub.io/api/news?id=a77676734f2a4dd6c3f8dfc51c9d64d38ac13419aec66e4fb1662bb9caac679d
company,1780466208,"Morgan Stanley Upgrades Yum Brands to Overweight, Raises Price Target to $185",140517965,,YUM,Benzinga,Morgan Stanley  analyst John Glass   upgrades Yum Brands (NYSE:YUM) from Equal-Weight to Overweight and raises the price target from $180 to $185.,https://finnhub.io/api/news?id=5365a965933c93d5aaf75a1357bddf02c5614ebe6993cd540835960df79eb11f
